Province,Rain,Drought,Test
Arizona,9,1,1
Arkansas,10,1,1
Arkhangelskaya ,0,0,1
Armenia,33,6,1
Arsi,14,4,1
Artibonite,8,0,1
Artigas,10,0,1
Artvin,15,12,1
Arunachal P.,6,0,1
Arusha,6,8,1
Arxangai,10,12,1
As_Suweida,4,2,1
Ash Shati,0,0,1
Ashanti,9,0,1
Asir,2,0,1
Asosa,5,0,1
Assaba,0,0,1
Assam,6,0,1
Assiut,0,0,1
Astrakhanskaya ,22,4,1
Asturias,7,0,1
Aswan,0,0,1
Atacama,0,0,1
Atakora,9,3,1
Atlantico,8,3,1
Atlantico Norte,8,0,1
Atlantico Sur,9,0,1
Atlantida,14,0,1
Atlantique,0,0,1
Atsimo A.,27,0,1
Atsimo Andrefana,3,12,1
Atsinanana,0,0,1
Attapu,12,4,1
Attiki,12,4,1
Atyrauskaya,32,15,1
Auckland,4,0,1
Aust-agder,7,7,1
Australian C.T.,0,0,1
Auvergne,12,3,1
Awbari (ubari),0,0,1
Awdal,0,0,1
Awi Agew,10,0,1
Ayacucho,7,0,1
Aydin,5,4,1
Ayeyawaddy,12,0,1
Az Zawia,9,12,1
Azuay,18,0,1
B. California S.,0,0,1
Ba Ria-Vung Tau,13,2,1
Babil,11,4,1
Bac Giang,18,0,1
Bac Kan,16,0,1
Bac Lieu,12,4,1
Bac Ninh,16,3,1
Bacau,12,7,1
Badakhshan,11,0,1
Badakhshoni Kuni,0,0,1
Baden W.,7,0,1
Badghis,6,3,1
Bafata,3,0,1
Baghdad,10,2,1
Baghlan,9,0,1
Bago (E),9,2,1
Bago (W),7,4,1
Baha,6,0,1
Bahia,13,13,1
Bahrain,0,0,1
Baja California,2,8,1
Bakool,0,0,1
Bale,20,2,1
Bali,23,0,1
Balikesir,18,4,1
Balkan,6,6,1
Balkh,9,7,1
Balochistan,19,0,1
Balqa,7,8,1
Bamako,0,0,1
Bamingui,0,0,1
Bamyan,11,1,1
Banadir,0,0,1
Bandama,8,2,1
Banghazi,4,4,1
Bangka Belitung,2,0,1
Bangkok,16,0,1
Banska Bystrica,11,11,1
Banteay Meanchey,9,0,1
Banten,15,0,1
Barbados,0,0,1
Barh-El-Gazal,0,0,1
Bari,0,0,1
Barima Waini,0,0,1
Barinas,10,0,1
Baringo,22,7,1
Barisal,11,3,1
Bartin,15,6,1
Bas Sassandra,13,0,1
Bashkortostan,3,8,1
Basilicata,18,0,1
Basketo,6,0,1
Basrah,5,2,1
Basse-Kotto,4,0,1
Basse-Normandie,20,0,1
Bas-Uele,1,0,1
Batha,4,8,1
Batken,0,0,1
Batman,5,7,1
Batna,9,5,1
Battambang,10,0,1
Bauchi,8,0,1
Bay,8,9,1
Bay Of Plenty,15,0,1
Bayan-O'lgii,0,0,1
Bayanxongor,0,0,1
Bayburt,23,9,1
Bayelsa,0,0,1
Bayern,6,5,1
Bechar,0,0,1
Behera,0,0,1
Beijing Shi,9,0,1
Beja,6,12,1
Bejaia,11,6,1
Belgorodskaya ,7,10,1
Belize,14,0,1
Ben Arous,7,6,1
Ben Tre,6,0,1
Bench Maji,11,0,1
Bengkulu,4,0,1
Bengo,7,7,1
Benguela,5,3,1
Beni,17,0,1
Beni Suef,0,0,1
Benue,3,0,1
Berlin,0,0,1
Bernardo Higgins,4,0,1
Betsiboka,2,4,1
Bhutan,9,1,1
Bicol Region,16,0,1
Bie,8,0,1
Bihar,20,2,1
Bihor,17,6,1
Bilecik,43,6,1
Bingol,26,4,1
Binh Dinh,14,0,1
Binh Duong,7,0,1
Binh Phuoc,16,0,1
Binh Thuan,14,1,1
Biobio,15,0,1
Bioko Norte,0,0,1
Bioko Sur,0,0,1
Biombo,0,0,1
Bishkek,0,0,1
Biskra,16,0,1
Bistrita-nasaud,21,15,1
Bitlis,29,4,1
Bizerte,3,9,1
Blekinge Laen,7,5,1
Blida,15,2,1
Blue Nile,5,4,1
Boaco,7,0,1
Bocas del Toro,0,0,1
Boeny,0,0,1
Boke,3,0,1
Bokeo,17,0,1
Bolikhamxai,11,0,1
Bolivar,24,0,3
Bolu,24,11,1
Bomet,9,3,1
Bomi,9,3,1
Bong,10,1,1
Bongolava,4,0,1
Boqueron,2,12,1
Bordj Bou Arrer,7,3,1
Borena,17,16,1
Borgou,7,2,1
Borkou,0,0,1
Borno,10,5,1
BosneHercegovine,7,0,1
Botosani,15,12,1
Boucle Mouhoun,14,2,1
Bouenza,2,3,1
Bouira,11,8,1
Boumerdes,16,3,1
Bourgogne,12,2,1
Boyaca,19,0,1
Braila,20,4,1
Brakna,0,0,1
Brandenburg,16,7,1
Brasov,21,7,1
Bratislava,18,0,1
Bremen,0,0,1
Brest,9,7,1
Bretagne,5,0,1
British Columbia,12,0,1
Brokopondo,0,0,1
Brong Ahafo,11,0,1
Brunei,0,0,1
Bryanskaya ,5,4,1
Bucuresti,26,1,1
Buenos Aires,7,0,1
Bukhara,0,2,1
Bulawayo,0,0,1
Bulgan,17,7,1
Bulgaria,32,2,1
Bungoma,17,0,1
Burdur,19,8,1
Burgenland,12,2,1
Buriram,8,2,1
Bursa,32,0,1
Burundi East,12,0,1
Burundi West,5,0,1
Buryatiya Rep.,0,0,1
Bushehr,13,8,1
Busia,17,0,1
Buskerud,6,14,1
Buzau,24,9,1
C. Equatoria,7,0,1
C. Valenciana,38,0,1
Ca Mau,13,7,1
Caaguazu,19,1,1
Caazapa,9,1,1
Cabinda,0,0,1
Cabo Delgado,2,0,1
Cacheu,0,0,1
Cagayan Valley,10,0,1
Cairo,0,0,1
Cajamarca,15,0,1
Calabarzon,23,0,1
Calabria,15,0,1
Calarasi,21,4,1
Caldas,13,0,1
California,6,0,1
Callao,0,0,1
Camaguey,11,1,1
Campania,12,0,1
Campeche,14,0,1
Can Tho city,11,7,1
Canakkale,16,4,1
Canar,12,0,1
Canarias,17,9,1
Canelones,13,3,1
Canindeyu,27,3,1
Cankiri,32,0,1
Cantabria,8,0,1
Canterbury,18,0,1
Cao Bang,17,0,1
Cape Verde,0,0,1
Capital Region,0,0,1
Caqueta,0,0,1
Carabobo,0,0,1
Caraga,7,0,1
Caras-severin,14,2,1
Carazo,2,0,1
Carchi,8,0,1
Carlos Ibañez,0,0,1
Cartago,19,0,1
Casanare,11,0,1
Cascades,5,0,1
Castilla L.M.,10,2,1
Castilla y León,12,6,1
Cataluña,5,0,1
Catamarca,4,6,1
Cauca,13,0,1
Cayenne,0,0,1
Cayman Islands,0,0,1
Ceara,12,7,1
Central Area,5,0,1
Central Luzon,17,0,1
Central Region,9,3,1
Central Visayas,20,0,1
Centrale,12,0,1
Centre,31,7,4
Centre-est,8,3,1
Centre-nord,9,6,1
Centre-ouest,9,2,1
Centre-sud,6,2,1
Centro Sur,0,0,1
Cerro Largo,6,7,1
Cesar,13,1,1
Chachoengsao,15,2,1
Chaco,18,4,1
Chagang-do,12,0,1
Chaharmahal-o B.,10,4,1
Chainat,20,2,1
Chaiyaphum,7,0,1
Champagne,21,0,1
Champasak,7,5,1
Chanthaburi,14,0,1
Chaouia,3,8,1
Chari-Baguirmi,7,3,1
Chechnya Rep.,34,6,1
Cheju-do,20,0,1
Chelyabinskaya ,4,24,1
Cherkas'ka,16,4,1
Chernihivs'ka,8,4,1
Chernivets'ka,20,5,1
Chhattisgarh,19,2,1
Chiang Mai,12,0,1
Chiang Rai,17,0,1
Chiapas,19,0,1
Chihuahua,14,5,1
Chimborazo,23,0,1
Chimbu,10,0,1
Chin,0,0,1
China/India,0,0,1
Chinandega,3,0,1
Chiriquí,15,0,1
Chitinskaya ,0,0,1
Chittagong,14,2,1
Chlef,15,6,1
Chobe,3,6,1
Choco,15,2,1
Chollabuk-do,15,0,1
Chollanam-do,19,0,1
Choluteca,10,0,1
Chonburi,5,0,1
Chongqing Shi,16,0,1
Chontales,12,0,1
Chubut,0,0,1
Chukotskiy Okrug,0,0,1
Chumphon,14,0,1
Chungchongbuk-do,9,0,1
Chungchongnam-do,11,0,1
Chuquisaca,5,1,1
Chuvashiya Rep.,1,10,1
Chuy,30,10,1
Ciego De Avila,13,4,1
Cienfuegos,12,0,1
Cluj,23,7,1
Coahuila,13,0,1
Coastal,0,0,1
Cochabamba,12,0,1
Coclé,9,0,1
Cojedes,10,4,1
Colón,0,0,1
Colima,24,0,1
Collines,10,0,1
Colon,12,0,1
Colonia,15,3,1
Colorado,17,5,1
Comayagua,9,0,1
Commewijne,0,0,1
Comoe,10,4,1
Comoros,0,0,1
Conakry,0,0,1
Concepcion,18,0,1
Connecticut,11,0,1
Constanta,13,6,1
Constantine,4,10,1
Copan,19,0,1
Copperbelt,9,0,1
Coquimbo,0,0,1
Cordillera,22,0,2
Cordoba,15,4,2
Coronie,0,0,1
Corrientes,14,9,1
Corse,14,2,1
Cortes,15,0,1
Corum,31,4,1
Cotopaxi,5,0,1
Couffo,9,1,1
Covasna,19,10,1
Croatia,10,7,1
Cross River,9,1,1
Cuando Cubango,7,0,1
Cuanza Sul,5,4,1
Cundinamarca,16,0,1
Cunene,10,9,1
Cusco,15,0,1
Cuvette,0,0,1
Cuvette Ovest,0,0,1
Cuyuni,0,0,1
Cyprus,18,6,1
Da Nang City,20,2,1
Dél-Alföld,22,0,1
Dél-Dunántúl,20,3,1
Dadra,9,2,1
Daerah I.Y.,18,0,1
Dagestan Rep.,28,4,1
Daghlig Shirvan,18,0,1
Dahuk,8,7,1
Dak Lak,13,2,1
Dak Nong,14,0,1
Dakahlia,0,1,1
Dakar,4,11,1
Dakhlet N.,0,0,1
Dalarnas Laen,8,8,1
Daman and Diu,7,5,1
Damascus,8,0,1
Damietta,0,0,1
Dar es salaam,0,0,1
Dara,5,1,1
Darién,5,0,1
Darnah,7,6,1
Darxan-Uul,7,8,1
Davao Region,6,0,1
Dawro,11,0,1
Daykundi,10,4,1
Dayr_Az_Zor,10,12,1
Debub,7,4,1
Debubawi K.B.,0,0,1
Delaware,9,0,1
Delhi,25,8,1
Delta,4,2,1
Delta Amacuro,0,0,1
Demerara Mahaica,15,0,1
Denguele,3,0,1
Denizli,31,0,1
Denmark,16,0,1
Dhaka,17,4,1
Dhamar,4,4,1
Dhofar,0,0,1
Diana,7,0,1
Dien Bien,24,0,1
Diffa,7,3,1
Dimbovita,22,12,1
Diourbel,2,7,1
Dire Dawa,11,6,1
Distrito Capital,0,0,1
Distrito Federal,11,12,2
Diyala,13,7,1
Diyarbakir,6,9,1
Djelfa,13,3,1
Djibouti,0,0,1
Dki Jakarta,0,0,1
Dnipropetrovs'ka,25,7,1
Dodoma,12,10,1
Dolj,31,4,1
Dolnoslaskie,22,4,1
Dominica,0,0,1
Dominican R.,14,1,1
Donets'ka,18,10,1
Dong Nai,17,0,1
Dong Thap,7,0,1
Donga,9,0,1
Doolo,0,0,1
Dornod,0,0,1
Dornogovi,0,0,1
Dosso,4,1,1
Doukkala - Abda,7,9,1
Dubai,0,0,1
Dundgovi,0,0,1
Durango,23,4,1
Durazno,19,4,1
Dytiki Ellada,7,0,1
Dytiki Makedonia,25,0,1
East Azarbayejan,21,3,1
East Berbice,10,0,1
East Cape,11,0,1
East Equatoria,0,0,1
East Gojam,7,1,1
East Harerge,12,3,1
East Highlands,8,0,1
East New Britain,0,0,1
East Sepik,8,0,1
East Shewa,7,2,1
East Wellega,9,0,1
Eastern Area,6,0,1
Eastern Cape,16,10,1
Eastern Finland,12,1,1
Eastern Province,0,0,1
Eastern Visayas,3,0,1
Ebonyi,5,1,1
Edirne,29,12,1
Edo,3,2,1
Ehime,15,0,1
Ekiti,7,0,1
El Bayadh,0,0,1
El Buheyrat,8,0,1
El Oro,2,0,1
El Oued,4,1,1
Elazig,10,3,1
El-Tarf,7,4,1
Emberá,0,0,1
Embu,10,7,1
Emilia-romagna,20,0,1
Enga,0,0,1
England,23,2,1
Ennedi Est,0,0,1
Ennedi Ouest,0,0,1
Entre Rios,15,2,1
Enugu,6,7,1
Equateur,0,0,1
Erbil,9,3,1
Erongo,0,0,1
Erzincan,19,12,1
Erzurum,37,6,1
Esfahan,13,0,1
Eskisehir,29,6,1
Esmeraldas,16,5,1
Espirito Santo,13,4,1
Essequibo,15,0,1
Est,3,8,2
Esteli,2,0,1
Estonia,8,0,1
Estuaire,7,1,1
eSwatini,13,5,1
Evenkiyskiy O.,0,0,1
Extrême - Nord,9,1,1
Extremadura,6,33,1
F. Morazan,12,0,1
FA Tribal Areas,25,4,1
Fès - Boulemane,12,4,1
Fafan,23,8,1
Falcon,18,3,1
Far West,20,2,1
Farah,2,3,1
Faranah,7,0,1
Faroe Islands,0,0,1
Fars,1,0,1
Faryab,18,0,1
Fatick,1,8,1
Fayoum,0,0,1
FCT - Abuja,3,0,1
Fergana,6,3,1
Fiji,0,0,1
Finnmark,0,0,1
Flores,18,6,1
Florida,33,0,2
Formosa,24,6,1
Franche-Comte,11,0,1
Free State,8,12,1
French Polynesia,0,0,1
Friuli,6,0,1
Fujairah,0,0,1
Fujian Sheng,29,0,1
Gôh-Djiboua,6,1,1
Gabes,10,3,1
Gabu,1,0,1
Gadaref,3,7,1
Gaevleborgs Laen,8,6,1
Gafsa,8,4,1
Galapagos,0,0,1
Galati,23,8,1
Galgaduud,0,0,1
Galicia,10,0,1
Gambia,6,2,1
Gamo Gofa,20,0,1
Ganja-Gazakh,52,0,1
Gansu Sheng,18,8,1
Gao,0,0,1
Garissa,0,0,1
Gash Barka,12,4,1
Gauteng,8,13,1
Gaza,11,8,1
Gaza Strip,0,0,1
Gaziantep,8,2,1
Gbarpolu,0,0,1
Gedio,0,0,1
Gedo,14,11,1
Geita,7,0,1
Georgia,6,0,1
Ghadamis,0,0,1
Ghanzi,0,0,1
Gharb,10,12,1
Gharbia,0,0,1
Ghardaia,0,0,1
Gharyan,0,0,1
Ghazni,7,11,1
Ghazvin,21,0,1
Ghom,10,1,1
Ghor,15,1,1
Gia Lai,13,4,1
Gifu,16,0,1
Gilan,22,0,1
Giresun,12,3,1
Giurgiu,21,0,1
Giza,0,0,1
Goa,12,6,1
Goias,7,0,1
Golestan,18,8,1
Gombe,10,2,1
Gomel,9,0,1
Gorgol,2,8,1
Gorj,17,5,1
Gorontalo,11,0,1
Gotlands Laen,10,14,1
Govi-Altai,0,0,1
Govisu'mber,0,0,1
Gracias A Dios,16,0,1
Granada,3,4,1
Grand Bassa,13,2,1
Grand Cape Mount,6,4,1
Grand Casablanca,4,8,1
Grand Gedeh,0,0,1
Grand Kru,4,0,1
Grande Anse,7,1,1
Granma,10,1,1
Greater Accra,11,9,1
Grenada,0,0,1
Grodno,10,12,1
Guadeloupe,0,0,1
Guainia,0,0,1
Guaira,8,0,1
Guajira,21,2,1
Guam,0,0,1
Guanacaste,3,0,1
Guanajuato,15,12,1
Guangdong Sheng,24,0,1
Guangxi Z.Z.,18,0,1
Guantanamo,10,3,1
Guarico,9,24,1
Guaviare,0,0,1
Guayas,7,2,1
Guba-Khachmaz,31,3,1
Guelma,9,6,1
Guelmim,0,0,1
Guera,6,4,1
Guerrero,14,0,1
Guidimakha,7,8,1
Guizhou Sheng,12,3,1
Gujarat,6,6,1
Guji,20,3,1
Gulf,0,0,1
Gumushane,18,12,1
Gunma,17,0,1
Gurage,9,1,1
Guria,10,0,1
Ha Giang,16,0,1
Ha Nam,19,1,1
Ha Noi City,18,0,1
Ha Tay,22,0,1
Ha Tinh,19,0,1
Hadiya,6,0,1
Hadjer-Lamis,7,5,1
Hadramaut,0,0,1
Hai Duong,23,5,1
Hai Phong City,19,6,1
Hail,7,0,1
Hainan Sheng,15,4,1
Hajjah,0,1,1
Hakkari,17,13,1
Hallands Laen,11,5,1
Hama,11,2,1
Hamburg,0,0,1
Hamedan,8,5,1
Hamgyong-bukto,8,0,1
Hamgyong-namdo,7,1,1
Harare,0,0,1
Hardap,0,0,1
Hareri,14,3,1
Harghita,15,12,1
Haryana,18,13,1
Hassakeh,7,4,1
Hatay,21,6,1
Hau Giang,14,0,1
Haute Matsiatra,27,0,1
Haute-Kotto,0,0,1
Haute-Normandie,25,2,1
Haut-Katanga,7,0,1
Haut-Lomami,10,0,1
Haut-Mbomou,0,0,1
Haut-Ogooue,0,0,1
Hauts-bassins,10,2,1
Haut-Uele,3,0,1
Hawaii,0,0,1
Hawke's Bay,12,0,1
Heard Island,0,0,1
Hebei Sheng,10,0,1
Hedmark,6,10,1
Heilongjiang S.,12,0,1
Henan Sheng,22,0,1
Heredia,17,0,1
Herrera,6,1,1
Hessen,20,1,1
Hidalgo,26,0,1
Hilmand,4,6,1
Himachal Pradesh,25,0,1
Hiraan,6,8,1
Hirat,1,8,1
Hirosima,16,0,1
Ho Chi Minh City,14,0,1
Hoa Binh,10,0,1
Hodh Ech Chargi,8,4,1
Hodh El Gharbi,11,3,1
Hokkaidoo,9,0,1
Holguin,13,4,1
Homa Bay,15,4,1
Homs,8,2,1
Hong Kong,0,0,1
Hordaland,6,0,1
Hormozgan,13,6,1
Horo Guduru,7,0,1
Houaphan,13,0,1
Huánuco,21,0,1
Huambo,10,0,1
Huancavelica,9,0,1
Hubei Sheng,16,0,1
Huehuetenango,19,0,1
Huila,20,5,2
Hukui,16,0,1
Hukuoka,12,0,1
Hukusima,23,0,1
Hunan Sheng,14,0,1
Hunedoara,15,10,1
Hung Yen,17,3,1
Hwanghae-bukto,9,0,1
Hwanghae-namdo,11,0,1
Hyoogo,12,0,1
Ialomita,27,0,1
Iasi,16,16,1
Ibaraki,20,0,1
Ibb,4,8,1
Ica,0,0,1
Icel,6,0,1
Iceland,0,0,1
Idaho,22,0,1
Idleb,7,7,1
Igdir,20,13,1
Ihorombe,17,3,1
Ilam,15,0,1
Ile-de-France,11,4,1
Ilemi triangle,0,0,1
Illes Balears,8,17,1
Illinois,14,2,1
Illizi,0,0,1
Ilocos Region,13,0,1
Ilubabor,12,0,1
Imbabura,19,0,1
Imereti,14,1,1
Imo,11,6,1
Inchiri,0,0,1
Inchon,0,0,1
Indiana,6,1,1
Ingushetiya Rep.,26,6,1
Inhambane,8,0,1
Intibuca,5,0,1
Ionioi Nisoi,22,0,1
Iowa,23,0,1
Ipeiros,18,0,1
Irbid,8,4,1
Ireland,5,0,1
Iringa,7,3,1
Irkutskaya ,12,0,1
Isikawa,16,0,1
Isiolo,0,0,1
Isla Juventud,10,0,1
Islamabad,0,0,1
Isle of Man,0,0,1
Ismailia,0,6,1
Isparta,29,10,1
Israel,7,3,1
Istanbul,36,5,1
Itapua,3,3,1
Itasy,10,0,1
Ituri,5,0,1
Ivano,17,6,1
Ivanovskaya ,8,1,1
Iwate,17,0,1
Izabal,18,0,1
Izmir,5,0,1
Jaemtlands Laen,5,0,1
Jalal-Abad,5,0,1
Jalisco,28,0,1
Jamaica,13,1,1
Jambi,13,0,1
Jambylslkaya,31,0,1
Jarar,0,0,1
Jarash,5,4,1
Jawa Barat,23,0,1
Jawa Tengah,24,0,1
Jawa Timur,21,0,1
Jawf,7,0,1
Jawzjan,9,12,1
Jendouba,5,3,1
Jharkhand,14,0,1
Jiangsu Sheng,15,0,1
Jiangxi Sheng,21,0,1
Jigawa,3,4,1
Jihocesky,16,8,1
Jihomoravsky,22,2,1
Jijel,5,0,1
Jilin Sheng,15,0,1
Jimma,8,0,1
Jinotega,6,0,1
Jizan,18,3,1
Jizzakh,13,5,1
Joenkoepings,9,3,1
Johor,12,0,1
Jonglei,4,8,1
Juba Dhexe,22,13,1
Juba Hoose,23,14,1
Jujuy,1,0,1
Junín,9,0,1
K.maras,11,0,1
Kémo,4,0,1
Közép-Dunántúl,22,3,1
Közép-Magyar.,20,7,1
Kabardino B.,14,3,1
Kabul,18,7,1
Kachin,12,0,1
Kaduna,10,1,1
Kaesong-si,5,0,1
Kaffrine,5,11,1
Kafr El-Shikh,0,0,1
Kagawa,15,0,1
Kagera,18,2,1
Kagosima,18,0,1
Kairouan,11,4,1
Kajiado,5,10,1
Kakamega,25,0,1
Kakheti,18,2,1
Kalasin,9,2,1
Kalbajar-Lachin,25,2,1
Kalimantan Barat,14,0,1
Kalimantan S.,21,0,1
Kalimantan T.,10,0,1
Kalimantan Timur,9,0,1
Kaliningradskaya,9,4,1
Kalmar Laen,9,13,1
Kalmykiya Rep.,6,3,1
Kaluzhskaya ,7,4,1
Kalyoubia,0,0,1
Kamchatskaya ,0,0,1
Kampaeng Phet,5,0,1
Kampong Cham,5,0,1
Kampong Chhnang,8,0,1
Kampong Speu,4,5,1
Kampong Thom,5,2,1
Kampot,7,0,1
Kanagawa,11,0,1
Kanchanaburi,10,3,1
Kandahar,1,0,1
Kandal,9,0,1
Kanem,0,0,1
Kangwon-do,5,0,1
Kang-won-do,8,0,1
Kankan,5,0,1
Kano,4,5,1
Kansas,14,9,1
Kaolack,5,6,1
Kapisa,24,2,1
Kara,5,1,1
Karabuk,27,4,1
Karagandinskaya,16,6,1
Karak,1,8,1
Karakalpakstan,6,3,1
Karaman,11,0,1
Karamoja,30,11,1
Karas,0,0,1
Karatchayevo,20,7,1
Karelya Rep.,0,0,1
Karnataka,9,3,1
Karnten,5,0,1
Kars,33,4,1
Kasai,0,0,1
Kasai-Central,12,0,1
Kasai-Oriental,9,0,1
Kashkadarya,11,6,1
Kaskazini Pemba,0,0,1
Kaskazini Unguja,0,0,1
Kassala,3,0,1
Kasserine,6,3,1
Kastamonu,21,9,1
Katavi,10,0,1
Katsina,6,2,1
Kauno,7,14,1
Kavango East,5,7,1
Kavango West,6,10,1
Kayar,6,0,1
Kayes,10,3,1
Kayin,11,2,1
Kayseri,15,3,1
Kebbi,8,2,1
Kebili,15,0,1
Kedah,21,0,1
Kedougou,3,0,1
Keffa,11,0,1
Keiyo-Marakwet,11,0,1
Kelantan,5,0,1
Kelem Wellega,11,0,1
Kemashi,9,1,1
Kemerovskaya ,7,5,1
Kentriki M.,16,0,1
Kentucky,15,0,1
Kepulauan-riau,6,0,1
Kerala,20,0,1
Kerbala,5,0,1
Kericho,9,0,1
Kerman,1,0,1
Kermanshah,7,9,1
Kgalagadi,0,0,1
Kgatleng,5,39,1
Khabarovskiy,0,0,1
Khakasiya Rep.,9,8,1
Khammouan,21,3,1
Khanh Hoa,19,4,1
KhantyMansyiskiy,0,0,1
Kharkivs'ka,20,17,1
Khartoum,1,0,1
Khatlon,9,2,1
Khenchela,5,3,1
Khersons'ka,19,0,1
Khmel'nyts'ka,17,5,1
Khomas,0,0,1
Khon Kaen,7,0,1
Khorasan,12,0,1
Khorezm,0,4,1
Khost,19,7,1
Khulna,11,0,1
Khuzestan,13,6,1
Kiambu,25,2,1
Kidal,0,0,1
Kien Giang,12,0,1
Kientem,0,0,1
Kigoma,7,0,1
Kilifi,9,9,1
Kilimanjaro,16,8,1
Kilis,7,4,1
Kindia,7,0,1
Kingman Reef,0,0,1
Kinshasa,8,0,1
Kiribati,0,0,1
Kirikkale,16,10,1
Kirinyaga,13,1,1
Kirklareli,20,8,1
Kirkuk,11,5,1
Kirovohrads'ka,23,8,1
Kirovskaya ,1,5,1
Kirsehir,11,9,1
Kisii,11,0,1
Kisumu,17,9,1
Kitui,11,7,1
Klaipedos,3,11,1
Kocaeli,42,1,1
Kogi,2,0,1
Koh Kong,12,0,1
Kohgiluyeh,12,0,1
Kolda,4,0,1
Komi Rep.,0,0,1
Komi-permyatskiy,4,11,1
Kon Tum,12,4,1
Kongo-Central,4,0,1
Konta,7,0,1
Konya,17,5,1
Kooti,11,0,1
Korahe,0,0,1
Kordestan,11,8,1
Koryakskiy Okrug,0,0,1
Kosice,15,7,1
Kostromskaya ,11,0,1
Kouilou,2,6,1
Koulikoro,7,0,1
Krabi,13,0,1
Krasnodarskiy,10,4,1
Krasnoyarskiy,8,0,1
Kratie,3,0,1
Kriti,9,0,1
Kronobergs Laen,8,4,1
Krym,16,4,1
KT,8,0,1
Kuala Lumpur,0,0,1
Kuanza Norte,0,0,1
Kujawsko P.,17,1,1
Kumamoto,12,0,1
Kuna Yala,0,0,1
Kunar,12,4,1
Kunduz,13,7,1
Kunene,0,0,1
Kurganskaya ,8,11,1
Kuril islands,0,0,1
Kurskaya ,7,9,1
Kusini Pemba,0,0,1
Kusini Unguja,0,0,1
Kustanayskaya,11,15,1
Kutahya,34,5,1
Kuwait,0,0,1
Kvemo Kartli,29,2,1
Kwale,12,10,1
Kwango,9,0,1
Kwara,12,0,1
KwaZulu-Natal,15,5,1
Kweneng,9,17,1
